seed,train_mse,train_mae,train_r2,val_mse,val_mae,val_r2
8763,0.02598257141104655,0.10098949282135534,0.8976876460746399,2.415795805064243,0.6082658765850233,-8.696843205322077
4857,0.02436974446718667,0.08938777747774455,0.9049875534522703,2.7155353859796847,0.45882176176245537,-11.03792719314824
5911,0.028831647512420153,0.1090950795918414,0.8866969804723406,5.831998102945914,0.8014102113932255,-22.85420907284046
4401,0.029175087231424007,0.11606319821161039,0.8837576853728949,0.3296611933698335,0.28655181528195783,-0.20087235661412217
5208,0.027208300188524295,0.09862066169741254,0.8932229596513489,3.354535735889396,0.6546470076813076,-12.897092507543087
386,0.026674650738805112,0.09708846506267277,0.8971520998221582,1.1749716475428786,0.44754401106034436,-5.683278774617694
8622,0.027463404967292677,0.09685666014026366,0.8937147188041732,0.18929159463622652,0.22494213429954013,0.09288496246785971
7865,0.027385613643513117,0.10178368203120033,0.8938658759702339,3.4174081616332823,0.7980462196004572,-15.276073184833145
9936,0.021401506619982698,0.08829019495082552,0.915591864074756,1.6216197644567738,0.5091485461973876,-5.548967883329335
4187,0.028341109694342174,0.10597320019831369,0.8885576236168355,3.336678420937561,0.8133228683065244,-12.752537054661339
7828,0.026946870284088355,0.09790061931535315,0.8932918751180797,1.2449599284661066,0.36814994297518916,-3.8362114648574686
4673,0.0319268423404458,0.12394848585804663,0.8732241546185079,0.6130912642497067,0.3866048437459665,-1.3103896527189018
2231,0.027586046748001317,0.10101442393189292,0.8922953331094714,3.5202187059773022,0.5741054579588267,-14.32192449893493
7004,0.02540632374239522,0.09070758556649389,0.9002785961138096,2.8425226566410355,0.6645028343760361,-10.745803664243601
9477,0.026075551982431194,0.09569213540032434,0.8972636350255848,0.8721726790583607,0.3993605224685522,-2.507348118352408
7119,0.02510092333028698,0.09089250971936236,0.9010614848783183,1.278231269905917,0.4250169806753322,-4.168752902157366
1964,0.028894325127845105,0.10305739801100153,0.8858364091356253,5.063164763415649,0.7510935816760896,-18.902604618699286
52,0.0269196118511471,0.1002821111860207,0.8937823753427752,0.2920801350789268,0.2604109885557667,-0.15266244273921625
8948,0.02572019738330125,0.1054586790871862,0.8996476278477001,1.2606322278418793,0.4633414527714822,-4.540575951115412
7788,0.023012100826006698,0.08868231435255193,0.908947329316924,0.49365090968902364,0.2935369770544239,-0.9903465227581381
5082,0.02588809604287273,0.098310783825967,0.896997399848595,0.16718856034143054,0.23718072561596754,0.38354422090480544
5095,0.02270046205062284,0.09492673059224215,0.9115069275826995,0.1640097989803697,0.2781179048118835,0.2764074558057361
9844,0.026046222617574277,0.10510049237785289,0.8947098078960551,0.6484089299792343,0.3849166109492532,-1.1835177839111095
7753,0.02722327877827575,0.11230188427850135,0.8926926058931817,0.7637145700405122,0.369901470117477,-2.187739285827463
3295,0.02628752138597177,0.09252138461404583,0.898078329811238,2.0661388808365984,0.42243761885404313,-8.652088508642363
5966,0.027174912420208874,0.10315186460894286,0.890307230750845,0.06437098739192029,0.18463792318095373,0.7823740845429745
9484,0.025846480079638145,0.10152390067169116,0.8987219813845893,1.3674298720869063,0.4126182416810227,-4.844815520994467
9885,0.02600837608076427,0.09253369326276639,0.8988748136768304,0.7303332272799026,0.34506970502997936,-2.419032709652192
8846,0.02937443606115708,0.10634007645747336,0.8831098668286887,7.1373350162778335,0.9544433638958009,-25.215624277635456
3456,0.023776956736576593,0.09035610376789995,0.9026563520224286,1.9723842180328686,0.6000788140693883,-5.03598933701771
